episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
86.0,10.0,21.917582417582416,21.917582417582416,182,1,4000,False,4000,182,1,2c44dbe6d2c640e29d165bfaa24e246b,2020-05-10_08-48-17,1589080697,12.451972723007202,12.451972723007202,27550,skbly7.local,192.168.1.5,12.451972723007202,4000,1,1,00000,0,"[13.0, 15.0, 14.0, 17.0, 23.0, 27.0, 17.0, 11.0, 12.0, 16.0, 14.0, 39.0, 21.0, 10.0, 17.0, 18.0, 17.0, 39.0, 31.0, 24.0, 15.0, 16.0, 18.0, 23.0, 18.0, 18.0, 10.0, 20.0, 26.0, 41.0, 29.0, 33.0, 51.0, 14.0, 10.0, 32.0, 16.0, 22.0, 34.0, 33.0, 21.0, 24.0, 23.0, 22.0, 56.0, 45.0, 24.0, 11.0, 20.0, 21.0, 18.0, 19.0, 25.0, 25.0, 22.0, 86.0, 34.0, 16.0, 45.0, 15.0, 26.0, 15.0, 26.0, 23.0, 15.0, 26.0, 18.0, 22.0, 20.0, 26.0, 14.0, 32.0, 16.0, 18.0, 15.0, 45.0, 19.0, 19.0, 19.0, 11.0, 15.0, 11.0, 11.0, 13.0, 26.0, 18.0, 28.0, 56.0, 22.0, 11.0, 13.0, 15.0, 15.0, 21.0, 21.0, 18.0, 11.0, 21.0, 18.0, 23.0, 15.0, 15.0, 14.0, 16.0, 18.0, 13.0, 42.0, 57.0, 13.0, 16.0, 27.0, 72.0, 27.0, 28.0, 25.0, 20.0, 17.0, 21.0, 42.0, 19.0, 19.0, 14.0, 20.0, 24.0, 17.0, 21.0, 23.0, 30.0, 23.0, 13.0, 18.0, 10.0, 18.0, 20.0, 15.0, 20.0, 18.0, 23.0, 16.0, 47.0, 16.0, 17.0, 24.0, 17.0, 16.0, 17.0, 11.0, 11.0, 21.0, 19.0, 32.0, 18.0, 17.0, 12.0, 12.0, 13.0, 13.0, 10.0, 18.0, 23.0, 20.0, 22.0, 42.0, 16.0, 14.0, 28.0, 13.0, 15.0, 21.0, 28.0, 10.0, 12.0, 49.0, 13.0, 15.0, 28.0, 13.0, 25.0, 39.0, 13.0, 20.0, 12.0]","[13, 15, 14, 17, 23, 27, 17, 11, 12, 16, 14, 39, 21, 10, 17, 18, 17, 39, 31, 24, 15, 16, 18, 23, 18, 18, 10, 20, 26, 41, 29, 33, 51, 14, 10, 32, 16, 22, 34, 33, 21, 24, 23, 22, 56, 45, 24, 11, 20, 21, 18, 19, 25, 25, 22, 86, 34, 16, 45, 15, 26, 15, 26, 23, 15, 26, 18, 22, 20, 26, 14, 32, 16, 18, 15, 45, 19, 19, 19, 11, 15, 11, 11, 13, 26, 18, 28, 56, 22, 11, 13, 15, 15, 21, 21, 18, 11, 21, 18, 23, 15, 15, 14, 16, 18, 13, 42, 57, 13, 16, 27, 72, 27, 28, 25, 20, 17, 21, 42, 19, 19, 14, 20, 24, 17, 21, 23, 30, 23, 13, 18, 10, 18, 20, 15, 20, 18, 23, 16, 47, 16, 17, 24, 17, 16, 17, 11, 11, 21, 19, 32, 18, 17, 12, 12, 13, 13, 10, 18, 23, 20, 22, 42, 16, 14, 28, 13, 15, 21, 28, 10, 12, 49, 13, 15, 28, 13, 25, 39, 13, 20, 12]",0.8013927170825701,0.2660259727357895,0.7133222287727934,3968,4000,8923.189,63.472,2878.089,538.604,48.96111111111111,70.77222222222223,0.20000000298023224,4.999999873689376e-05,94.29235,-0.041172024,94.32699,0.057035033,0.03266736,0.66086304,0.0
143.0,9.0,42.04,42.04,88,1,4000,False,8000,270,2,2c44dbe6d2c640e29d165bfaa24e246b,2020-05-10_08-48-25,1589080705,8.347273826599121,20.799246549606323,27550,skbly7.local,192.168.1.5,20.799246549606323,8000,2,1,00000,0,"[14.0, 48.0, 61.0, 25.0, 64.0, 12.0, 108.0, 105.0, 19.0, 43.0, 24.0, 48.0, 18.0, 22.0, 13.0, 36.0, 53.0, 26.0, 14.0, 62.0, 70.0, 42.0, 71.0, 23.0, 22.0, 58.0, 16.0, 53.0, 42.0, 48.0, 20.0, 19.0, 111.0, 66.0, 143.0, 26.0, 84.0, 68.0, 69.0, 44.0, 72.0, 42.0, 43.0, 20.0, 62.0, 61.0, 51.0, 15.0, 58.0, 32.0, 84.0, 48.0, 14.0, 19.0, 88.0, 104.0, 46.0, 48.0, 16.0, 93.0, 46.0, 14.0, 51.0, 16.0, 39.0, 26.0, 17.0, 23.0, 45.0, 13.0, 14.0, 46.0, 49.0, 36.0, 26.0, 48.0, 33.0, 50.0, 9.0, 18.0, 74.0, 39.0, 106.0, 42.0, 25.0, 57.0, 22.0, 45.0, 10.0, 12.0, 49.0, 13.0, 15.0, 28.0, 13.0, 25.0, 39.0, 13.0, 20.0, 12.0]","[14, 48, 61, 25, 64, 12, 108, 105, 19, 43, 24, 48, 18, 22, 13, 36, 53, 26, 14, 62, 70, 42, 71, 23, 22, 58, 16, 53, 42, 48, 20, 19, 111, 66, 143, 26, 84, 68, 69, 44, 72, 42, 43, 20, 62, 61, 51, 15, 58, 32, 84, 48, 14, 19, 88, 104, 46, 48, 16, 93, 46, 14, 51, 16, 39, 26, 17, 23, 45, 13, 14, 46, 49, 36, 26, 48, 33, 50, 9, 18, 74, 39, 106, 42, 25, 57, 22, 45, 10, 12, 49, 13, 15, 28, 13, 25, 39, 13, 20, 12]",0.6150793175755894,0.24855402688964057,0.7511067927760289,7936,8000,7294.076,32.302,2775.806,271.039,64.14999999999999,70.50000000000001,0.30000001192092896,4.999999873689376e-05,292.36197,-0.030454444,292.38672,0.10196115,0.01910651,0.6088054,0.0
200.0,9.0,67.4,67.4,41,1,4000,False,12000,311,3,2c44dbe6d2c640e29d165bfaa24e246b,2020-05-10_08-48-34,1589080714,8.961220026016235,29.76046657562256,27550,skbly7.local,192.168.1.5,29.76046657562256,12000,3,1,00000,0,"[57.0, 200.0, 74.0, 200.0, 116.0, 94.0, 49.0, 114.0, 200.0, 117.0, 19.0, 55.0, 193.0, 162.0, 24.0, 92.0, 58.0, 186.0, 39.0, 94.0, 19.0, 12.0, 96.0, 91.0, 63.0, 133.0, 21.0, 72.0, 116.0, 49.0, 147.0, 200.0, 97.0, 36.0, 133.0, 104.0, 97.0, 32.0, 155.0, 26.0, 155.0, 48.0, 20.0, 19.0, 111.0, 66.0, 143.0, 26.0, 84.0, 68.0, 69.0, 44.0, 72.0, 42.0, 43.0, 20.0, 62.0, 61.0, 51.0, 15.0, 58.0, 32.0, 84.0, 48.0, 14.0, 19.0, 88.0, 104.0, 46.0, 48.0, 16.0, 93.0, 46.0, 14.0, 51.0, 16.0, 39.0, 26.0, 17.0, 23.0, 45.0, 13.0, 14.0, 46.0, 49.0, 36.0, 26.0, 48.0, 33.0, 50.0, 9.0, 18.0, 74.0, 39.0, 106.0, 42.0, 25.0, 57.0, 22.0, 45.0]","[57, 200, 74, 200, 116, 94, 49, 114, 200, 117, 19, 55, 193, 162, 24, 92, 58, 186, 39, 94, 19, 12, 96, 91, 63, 133, 21, 72, 116, 49, 147, 200, 97, 36, 133, 104, 97, 32, 155, 26, 155, 48, 20, 19, 111, 66, 143, 26, 84, 68, 69, 44, 72, 42, 43, 20, 62, 61, 51, 15, 58, 32, 84, 48, 14, 19, 88, 104, 46, 48, 16, 93, 46, 14, 51, 16, 39, 26, 17, 23, 45, 13, 14, 46, 49, 36, 26, 48, 33, 50, 9, 18, 74, 39, 106, 42, 25, 57, 22, 45]",0.51945480534817,0.23813101924033384,0.8044973594759821,11904,12000,6772.254,22.046,2924.836,181.882,72.33076923076922,69.4923076923077,0.30000001192092896,4.999999873689376e-05,639.52344,-0.019115223,639.5392,0.04759834,0.011336964,0.5693651,0.0
200.0,9.0,94.49,94.49,25,1,4000,False,16000,336,4,2c44dbe6d2c640e29d165bfaa24e246b,2020-05-10_08-48-42,1589080722,7.6763999462127686,37.43686652183533,27550,skbly7.local,192.168.1.5,37.43686652183533,16000,4,1,00000,0,"[190.0, 200.0, 131.0, 200.0, 140.0, 86.0, 170.0, 200.0, 200.0, 108.0, 90.0, 71.0, 157.0, 200.0, 98.0, 200.0, 200.0, 200.0, 181.0, 182.0, 200.0, 200.0, 200.0, 161.0, 63.0, 88.0, 104.0, 46.0, 48.0, 16.0, 93.0, 46.0, 14.0, 51.0, 16.0, 39.0, 26.0, 17.0, 23.0, 45.0, 13.0, 14.0, 46.0, 49.0, 36.0, 26.0, 48.0, 33.0, 50.0, 9.0, 18.0, 74.0, 39.0, 106.0, 42.0, 25.0, 57.0, 22.0, 45.0, 57.0, 200.0, 74.0, 200.0, 116.0, 94.0, 49.0, 114.0, 200.0, 117.0, 19.0, 55.0, 193.0, 162.0, 24.0, 92.0, 58.0, 186.0, 39.0, 94.0, 19.0, 12.0, 96.0, 91.0, 63.0, 133.0, 21.0, 72.0, 116.0, 49.0, 147.0, 200.0, 97.0, 36.0, 133.0, 104.0, 97.0, 32.0, 155.0, 26.0, 155.0]","[190, 200, 131, 200, 140, 86, 170, 200, 200, 108, 90, 71, 157, 200, 98, 200, 200, 200, 181, 182, 200, 200, 200, 161, 63, 88, 104, 46, 48, 16, 93, 46, 14, 51, 16, 39, 26, 17, 23, 45, 13, 14, 46, 49, 36, 26, 48, 33, 50, 9, 18, 74, 39, 106, 42, 25, 57, 22, 45, 57, 200, 74, 200, 116, 94, 49, 114, 200, 117, 19, 55, 193, 162, 24, 92, 58, 186, 39, 94, 19, 12, 96, 91, 63, 133, 21, 72, 116, 49, 147, 200, 97, 36, 133, 104, 97, 32, 155, 26, 155]",0.45538199609510366,0.22903822290670917,0.8380545322854891,15872,16000,6273.249,17.053,2916.449,137.212,67.1,70.60909090909092,0.30000001192092896,4.999999873689376e-05,420.46475,-0.005286123,420.46857,0.2248422,0.0050668153,0.55065554,0.0
200.0,9.0,125.08,125.08,22,1,4000,False,20000,358,5,2c44dbe6d2c640e29d165bfaa24e246b,2020-05-10_08-48-52,1589080732,10.631322860717773,48.0681893825531,27550,skbly7.local,192.168.1.5,48.0681893825531,20000,5,1,00000,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 121.0, 199.0, 148.0, 117.0, 200.0, 200.0, 200.0, 200.0, 200.0, 121.0, 193.0, 158.0, 152.0, 200.0, 200.0, 154.0, 200.0, 33.0, 50.0, 9.0, 18.0, 74.0, 39.0, 106.0, 42.0, 25.0, 57.0, 22.0, 45.0, 57.0, 200.0, 74.0, 200.0, 116.0, 94.0, 49.0, 114.0, 200.0, 117.0, 19.0, 55.0, 193.0, 162.0, 24.0, 92.0, 58.0, 186.0, 39.0, 94.0, 19.0, 12.0, 96.0, 91.0, 63.0, 133.0, 21.0, 72.0, 116.0, 49.0, 147.0, 200.0, 97.0, 36.0, 133.0, 104.0, 97.0, 32.0, 155.0, 26.0, 155.0, 190.0, 200.0, 131.0, 200.0, 140.0, 86.0, 170.0, 200.0, 200.0, 108.0, 90.0, 71.0, 157.0, 200.0, 98.0, 200.0, 200.0, 200.0, 181.0, 182.0, 200.0, 200.0, 200.0, 161.0, 63.0]","[200, 200, 200, 200, 200, 121, 199, 148, 117, 200, 200, 200, 200, 200, 121, 193, 158, 152, 200, 200, 154, 200, 33, 50, 9, 18, 74, 39, 106, 42, 25, 57, 22, 45, 57, 200, 74, 200, 116, 94, 49, 114, 200, 117, 19, 55, 193, 162, 24, 92, 58, 186, 39, 94, 19, 12, 96, 91, 63, 133, 21, 72, 116, 49, 147, 200, 97, 36, 133, 104, 97, 32, 155, 26, 155, 190, 200, 131, 200, 140, 86, 170, 200, 200, 108, 90, 71, 157, 200, 98, 200, 200, 200, 181, 182, 200, 200, 200, 161, 63]",0.4127866603265516,0.22375461926233556,0.8691679678467265,19840,20000,6508.692,13.932,2967.573,110.505,71.78666666666666,70.51333333333334,0.30000001192092896,4.999999873689376e-05,282.53525,-0.00070906454,282.5355,0.44805056,0.0014396249,0.5491248,0.0
200.0,12.0,146.85,146.85,23,1,4000,False,24000,381,6,2c44dbe6d2c640e29d165bfaa24e246b,2020-05-10_08-49-00,1589080740,8.101170301437378,56.16935968399048,27550,skbly7.local,192.168.1.5,56.16935968399048,24000,6,1,00000,0,"[200.0, 200.0, 88.0, 140.0, 155.0, 160.0, 144.0, 62.0, 195.0, 200.0, 200.0, 129.0, 200.0, 200.0, 200.0, 142.0, 200.0, 162.0, 160.0, 200.0, 200.0, 200.0, 200.0, 55.0, 193.0, 162.0, 24.0, 92.0, 58.0, 186.0, 39.0, 94.0, 19.0, 12.0, 96.0, 91.0, 63.0, 133.0, 21.0, 72.0, 116.0, 49.0, 147.0, 200.0, 97.0, 36.0, 133.0, 104.0, 97.0, 32.0, 155.0, 26.0, 155.0, 190.0, 200.0, 131.0, 200.0, 140.0, 86.0, 170.0, 200.0, 200.0, 108.0, 90.0, 71.0, 157.0, 200.0, 98.0, 200.0, 200.0, 200.0, 181.0, 182.0, 200.0, 200.0, 200.0, 161.0, 63.0, 200.0, 200.0, 200.0, 200.0, 200.0, 121.0, 199.0, 148.0, 117.0, 200.0, 200.0, 200.0, 200.0, 200.0, 121.0, 193.0, 158.0, 152.0, 200.0, 200.0, 154.0, 200.0]","[200, 200, 88, 140, 155, 160, 144, 62, 195, 200, 200, 129, 200, 200, 200, 142, 200, 162, 160, 200, 200, 200, 200, 55, 193, 162, 24, 92, 58, 186, 39, 94, 19, 12, 96, 91, 63, 133, 21, 72, 116, 49, 147, 200, 97, 36, 133, 104, 97, 32, 155, 26, 155, 190, 200, 131, 200, 140, 86, 170, 200, 200, 108, 90, 71, 157, 200, 98, 200, 200, 200, 181, 182, 200, 200, 200, 161, 63, 200, 200, 200, 200, 200, 121, 199, 148, 117, 200, 200, 200, 200, 200, 121, 193, 158, 152, 200, 200, 154, 200]",0.37539258552123994,0.21872730940192617,0.891697761615903,23808,24000,6263.736,11.951,2981.694,92.622,72.03333333333335,70.48333333333333,0.15000000596046448,4.999999873689376e-05,278.64294,-0.0096017495,278.65152,0.511856,0.006728276,0.51208645,0.0
200.0,26.0,169.6,169.6,20,1,4000,False,28000,401,7,2c44dbe6d2c640e29d165bfaa24e246b,2020-05-10_08-49-09,1589080749,8.117125749588013,64.28648543357849,27550,skbly7.local,192.168.1.5,64.28648543357849,28000,7,1,00000,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 197.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 97.0, 36.0, 133.0, 104.0, 97.0, 32.0, 155.0, 26.0, 155.0, 190.0, 200.0, 131.0, 200.0, 140.0, 86.0, 170.0, 200.0, 200.0, 108.0, 90.0, 71.0, 157.0, 200.0, 98.0, 200.0, 200.0, 200.0, 181.0, 182.0, 200.0, 200.0, 200.0, 161.0, 63.0, 200.0, 200.0, 200.0, 200.0, 200.0, 121.0, 199.0, 148.0, 117.0, 200.0, 200.0, 200.0, 200.0, 200.0, 121.0, 193.0, 158.0, 152.0, 200.0, 200.0, 154.0, 200.0, 200.0, 200.0, 88.0, 140.0, 155.0, 160.0, 144.0, 62.0, 195.0, 200.0, 200.0, 129.0, 200.0, 200.0, 200.0, 142.0, 200.0, 162.0, 160.0, 200.0, 200.0, 200.0, 200.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 197, 200, 200, 200, 200, 200, 200, 200, 97, 36, 133, 104, 97, 32, 155, 26, 155, 190, 200, 131, 200, 140, 86, 170, 200, 200, 108, 90, 71, 157, 200, 98, 200, 200, 200, 181, 182, 200, 200, 200, 161, 63, 200, 200, 200, 200, 200, 121, 199, 148, 117, 200, 200, 200, 200, 200, 121, 193, 158, 152, 200, 200, 154, 200, 200, 200, 88, 140, 155, 160, 144, 62, 195, 200, 200, 129, 200, 200, 200, 142, 200, 162, 160, 200, 200, 200, 200]",0.3533485703809723,0.21544532640127784,0.9004315378837395,27776,28000,6082.298,10.5,3000.76,79.867,78.81818181818181,70.42727272727271,0.15000000596046448,4.999999873689376e-05,324.01163,-0.0011156372,324.0117,0.4673809,0.0069975047,0.5246487,0.0
200.0,62.0,183.0,183.0,20,1,4000,False,32000,421,8,2c44dbe6d2c640e29d165bfaa24e246b,2020-05-10_08-49-17,1589080757,8.237758874893188,72.52424430847168,27550,skbly7.local,192.168.1.5,72.52424430847168,32000,8,1,00000,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 90.0, 71.0, 157.0, 200.0, 98.0, 200.0, 200.0, 200.0, 181.0, 182.0, 200.0, 200.0, 200.0, 161.0, 63.0, 200.0, 200.0, 200.0, 200.0, 200.0, 121.0, 199.0, 148.0, 117.0, 200.0, 200.0, 200.0, 200.0, 200.0, 121.0, 193.0, 158.0, 152.0, 200.0, 200.0, 154.0, 200.0, 200.0, 200.0, 88.0, 140.0, 155.0, 160.0, 144.0, 62.0, 195.0, 200.0, 200.0, 129.0, 200.0, 200.0, 200.0, 142.0, 200.0, 162.0, 160.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 197.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 90, 71, 157, 200, 98, 200, 200, 200, 181, 182, 200, 200, 200, 161, 63, 200, 200, 200, 200, 200, 121, 199, 148, 117, 200, 200, 200, 200, 200, 121, 193, 158, 152, 200, 200, 154, 200, 200, 200, 88, 140, 155, 160, 144, 62, 195, 200, 200, 129, 200, 200, 200, 142, 200, 162, 160, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 197, 200, 200, 200, 200, 200, 200]",0.33441263574829777,0.2131231084354787,0.9096938246943003,31744,32000,5969.564,9.451,3006.478,70.459,79.14999999999999,70.72500000000001,0.15000000596046448,4.999999873689376e-05,455.4107,-0.0016708958,455.4116,0.34964412,0.0048220987,0.49980104,0.0
200.0,62.0,188.97,188.97,20,1,4000,False,36000,441,9,2c44dbe6d2c640e29d165bfaa24e246b,2020-05-10_08-49-25,1589080765,8.077924013137817,80.6021683216095,27550,skbly7.local,192.168.1.5,80.6021683216095,36000,9,1,00000,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 121.0, 199.0, 148.0, 117.0, 200.0, 200.0, 200.0, 200.0, 200.0, 121.0, 193.0, 158.0, 152.0, 200.0, 200.0, 154.0, 200.0, 200.0, 200.0, 88.0, 140.0, 155.0, 160.0, 144.0, 62.0, 195.0, 200.0, 200.0, 129.0, 200.0, 200.0, 200.0, 142.0, 200.0, 162.0, 160.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 197.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 121, 199, 148, 117, 200, 200, 200, 200, 200, 121, 193, 158, 152, 200, 200, 154, 200, 200, 200, 88, 140, 155, 160, 144, 62, 195, 200, 200, 129, 200, 200, 200, 142, 200, 162, 160, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 197, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.316599955386692,0.21143410108252375,0.91798506097972,35712,36000,5869.941,8.557,3005.378,63.043,79.09166666666667,70.60000000000001,0.07500000298023224,4.999999873689376e-05,415.1845,-0.0028448876,415.18704,0.43649942,0.0039568725,0.4980325,0.0
200.0,62.0,194.46,194.46,20,1,4000,False,40000,461,10,2c44dbe6d2c640e29d165bfaa24e246b,2020-05-10_08-49-33,1589080773,8.397275924682617,88.99944424629211,27550,skbly7.local,192.168.1.5,88.99944424629211,40000,10,1,00000,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 140.0, 155.0, 160.0, 144.0, 62.0, 195.0, 200.0, 200.0, 129.0, 200.0, 200.0, 200.0, 142.0, 200.0, 162.0, 160.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 197.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 140, 155, 160, 144, 62, 195, 200, 200, 129, 200, 200, 200, 142, 200, 162, 160, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 197, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.2875105282585508,0.20774110042740804,0.9261489043277064,39680,40000,5799.986,7.857,3026.272,57.289,80.47500000000001,70.36666666666666,0.03750000149011612,4.999999873689376e-05,490.1225,-0.007581509,490.12985,0.32864782,0.006786442,0.4634142,0.0
