episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/allreduce_latency,info/learner/default_policy/grad_gnorm,info/learner/default_policy/td_error,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_q,info/learner/default_policy/min_q,info/learner/default_policy/max_q,info/learner/default_policy/mean_td_error
nan,nan,nan,nan,0,3,1008,False,0,1,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-05-57,1589087157,7.225684404373169,7.225684404373169,19310,ip-172-31-20-81,172.31.20.81,7.225684404373169,0,1,00000,0,[],[],1378.622,23.212,4.754,1008,32,1008,1,69.1,28.96,0.018,0.06758223575352439,0.0,321.10899248914535,"[6.989628  7.3535023 2.9090133 2.8545778 2.9179757 3.2371092 7.6146336
 2.7549412 7.807229  7.06474   7.16794   8.958635  2.790687  7.0004864
 6.9838943 2.8296628 7.0930414 9.026836  7.239361  7.2088532 3.1547737
 8.987597  7.427108  2.9115314 7.2519765 2.8823845 8.960554  8.962267
 6.962448  2.8675468 9.058605  7.2044277]",0.0005,2.3104708194732666,-1.0179712772369385,5.280747890472412,6.076061248779297
nan,nan,nan,nan,0,3,2016,False,0,2,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-06-02,1589087162,4.916294097900391,12.14197850227356,19310,ip-172-31-20-81,172.31.20.81,12.14197850227356,0,2,00000,0,[],[],15.733,2033.91,4.882,2016,2720,2016,3,56.6,25.61666666666667,0.20333333333333334,0.0558607452511748,0.0,85.8010781805419,"[-3.5734482 -3.3916054 -8.899242  -3.4911346 -3.4455566 -8.882145
 -3.4574318 -7.6852264 -9.083748  -3.5320091 -3.4634895 -7.5694695
 -3.8207855 -9.105068  -9.0231285 -3.3786469 -7.694683  -3.7086143
 -9.124989  -3.470913  -3.3678474 -3.564083  -7.4684525 -3.7428856
 -3.524002  -3.636547  -3.5322762 -3.7147865 -3.4255257 -3.522194
 -7.6692543 -3.8073006]",0.0005,-42.49412536621094,-46.41883850097656,-40.56781768798828,-5.211765289306641
nan,nan,nan,nan,0,3,3024,False,0,3,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-06-07,1589087167,4.923907041549683,17.065885543823242,19310,ip-172-31-20-81,172.31.20.81,17.065885543823242,0,3,00000,0,[],[],16.134,1983.439,5.132,3024,5408,3024,5,58.18571428571429,26.11428571428571,0.20714285714285713,0.0558607452511748,0.0,76.47353998516341,"[-2.222046  -3.1605186 -3.019287  -3.5992699 -4.2592278 -4.2283745
 -3.2993279 -3.1435852 -3.107235  -3.000866  -3.1406288 -2.1638641
 -1.9146614 -4.257511  -1.8579254 -3.0856857 -3.1705933 -1.8693504
 -3.0862617 -1.866806  -3.0943108 -4.192791  -3.0575447 -3.2071457
 -3.212288  -1.9168243 -3.2737427 -1.7932587 -1.8463783 -2.217125
 -1.9023743 -3.1771774]",0.0005,-36.21549987792969,-37.6116828918457,-34.94652557373047,-2.885749578475952
nan,nan,nan,nan,0,3,4032,False,0,4,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-06-12,1589087172,5.063238143920898,22.12912368774414,19310,ip-172-31-20-81,172.31.20.81,22.12912368774414,0,4,00000,0,[],[],15.703,2037.813,5.164,4032,8096,4032,7,57.25,26.483333333333334,0.20666666666666667,0.0558607452511748,0.0,35.945899869913916,"[0.5235939  0.76971817 0.9661827  0.71222687 0.64339066 0.5721855
 0.4816246  0.6250725  0.8831215  0.577816   0.5480995  0.702301
 0.43152237 0.52453995 0.5604706  0.63507843 1.1502609  0.59687424
 0.64870834 0.5360832  0.8041153  0.46133423 0.62433624 0.6190834
 0.47906494 0.5169983  0.3980255  0.4502182  0.5010605  0.44511032
 0.53855896 0.91742706]",0.0005,-34.1950569152832,-34.55533981323242,-33.726112365722656,0.6201313734054565
nan,nan,nan,nan,0,3,5040,False,0,5,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-06-17,1589087177,5.055822372436523,27.184946060180664,19310,ip-172-31-20-81,172.31.20.81,27.184946060180664,0,5,00000,0,[],[],18.437,1735.658,5.445,5040,10784,5040,9,58.3,26.9,0.2057142857142857,0.0558607452511748,0.0,42.45433366886746,"[-0.01802444 -0.28849792 -0.04708099 -1.4337616  -0.09764099 -1.3843231
 -1.2852783  -1.3259659  -1.7143669  -1.5639343  -1.4409714  -0.08442688
 -1.4709053  -1.3834305  -1.6573868   0.05919266 -1.4464264  -1.3296394
 -1.3998146  -1.4439507  -1.3414383  -1.6164131  -0.14658356 -1.5512123
 -1.454113   -0.18535614 -1.4196396   0.82250595 -1.2959061  -1.2447205
 -1.4416504  -1.430336  ]",0.0005,-35.026893615722656,-35.634559631347656,-33.86931610107422,-1.0331717729568481
nan,nan,nan,nan,0,3,6048,False,0,6,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-06-22,1589087182,4.928191661834717,32.11313772201538,19310,ip-172-31-20-81,172.31.20.81,32.11313772201538,0,6,00000,0,[],[],18.742,1707.44,5.391,6048,13472,6048,11,57.99999999999999,27.299999999999997,0.21666666666666667,0.0558607452511748,0.0,58.71123231879755,"[-2.1427155 -1.6314163 -1.5313759 -1.9466934 -2.9261703 -1.0555611
 -1.1793671 -2.1868973 -1.6576881 -2.0114784 -1.7060509 -0.8343735
 -1.9935036 -1.346386  -2.4964638 -1.5797997 -2.3022041 -2.0068588
 -1.4940109 -1.9585571 -1.7473297 -1.5688057 -1.3759384 -2.094101
 -2.0851555 -2.0766258 -1.4207306 -2.3022041 -2.0183945 -1.1773491
 -2.144703  -1.727562 ]",0.0005,-37.95026779174805,-38.44319534301758,-36.94403839111328,-1.8039522171020508
-19.0,-20.0,-19.5,1300.0,2,3,7056,False,2,7,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-06-27,1589087187,4.941311597824097,37.05444931983948,19310,ip-172-31-20-81,172.31.20.81,37.05444931983948,0,7,00000,0,"[-19.0, -20.0]","[1292, 1308]",15.951,2006.091,5.14,7056,16160,7056,13,57.583333333333336,27.61666666666667,0.19333333333333333,0.0558607452511748,0.0,1.8216014819607518,"[-0.3318901   0.43201447  0.10494614  0.2966118   0.14263916  0.15359116
 -0.300045    0.12637329 -0.321846   -0.08745193 -0.15087128 -0.30027008
 -0.33647156 -0.01322174 -0.4144783   0.33885193  0.3328476  -0.09516525
 -0.41445923  0.29246902  0.17859268 -0.2158966   0.31318283 -0.3115883
  0.02852249  0.28713226  0.25069046 -0.33860397 -0.21435165  0.26621246
 -0.52508163 -0.21784592]",0.0005,-35.513153076171875,-35.99148941040039,-35.11476135253906,-0.03265190124511719
-17.0,-20.0,-18.666666666666668,1404.3333333333333,1,3,8064,False,3,8,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-06-32,1589087192,4.75968861579895,41.81413793563843,19310,ip-172-31-20-81,172.31.20.81,41.81413793563843,0,8,00000,0,"[-17.0, -19.0, -20.0]","[1613, 1292, 1308]",15.696,2038.751,4.898,8064,18848,8064,15,53.96666666666667,27.683333333333334,0.22999999999999998,0.0558607452511748,0.0,47.269353281987776,"[0.35469437 2.3256912  2.5275803  2.4847183  1.438858   2.2901459
 2.4284363  1.4916496  2.41922    1.7579346  1.802288   1.9484024
 2.5671425  1.6968575  1.6141548  0.3500824  2.4820976  1.7502785
 2.4131966  0.29062653 1.6285248  2.6487007  1.723423   1.643959
 1.382576   2.488224   1.4720879  1.947876   1.3879433  0.43981552
 2.3284645  1.7185478 ]",0.0005,-33.69416809082031,-35.09100341796875,-32.89824676513672,1.7888811826705933
-17.0,-20.0,-18.666666666666668,1404.3333333333333,0,3,9072,False,3,9,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-06-37,1589087197,4.644786357879639,46.458924293518066,19310,ip-172-31-20-81,172.31.20.81,46.458924293518066,0,9,00000,0,"[-19.0, -20.0, -17.0]","[1292, 1308, 1613]",15.765,2029.804,5.195,9072,21536,9072,17,51.849999999999994,27.933333333333334,0.205,0.0558607452511748,0.0,47.14955553871043,"[1.3018112 1.1661911 1.095192  1.0206413 1.0662327 1.0426064 1.0948639
 1.3245411 1.3173904 1.1296692 1.33185   1.1565704 1.2117863 1.2434597
 2.0984745 1.2117214 1.2839317 1.2004261 1.1093731 1.3277779 1.1862736
 1.1476955 1.4416065 1.3257599 1.1532421 1.2257862 1.362627  1.3572731
 1.3828926 1.2785931 1.073185  1.2734241]",0.0005,-29.82583236694336,-30.040576934814453,-29.559680938720703,1.2482147216796875
-17.0,-20.0,-18.666666666666668,1404.3333333333333,0,3,10080,False,3,10,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-06-41,1589087201,4.6669769287109375,51.125901222229004,19310,ip-172-31-20-81,172.31.20.81,51.125901222229004,0,10,00000,0,"[-19.0, -20.0, -17.0]","[1292, 1308, 1613]",15.693,2039.111,5.128,10080,24224,10080,19,52.666666666666664,28.349999999999998,0.2233333333333333,0.0558607452511748,0.0,3.837807633939768,"[-0.2091198  -0.05338097 -0.17897797 -0.33480835  0.80568314 -0.17840767
 -0.2539692  -0.13363075 -0.2148037  -0.307209   -0.09383011 -0.27319717
 -0.19112396 -0.18013    -0.19203568 -0.26991463 -0.27996063 -0.13485909
 -0.20462418 -0.16667557 -0.21592903 -0.14884949 -0.14476204  0.86929893
 -0.16899109 -0.1577301  -0.27241325 -0.2679386  -0.14745712 -0.43190002
 -0.3008995  -0.24196434]",0.0005,-29.129425048828125,-29.282630920410156,-28.943811416625977,-0.1460784673690796
