episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,optimizer_steps_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/allreduce_latency,info/learner/cur_kl_coeff,info/learner/cur_lr,info/learner/total_loss,info/learner/policy_loss,info/learner/vf_loss,info/learner/vf_explained_var,info/learner/kl,info/learner/entropy,info/learner/entropy_coeff
nan,nan,nan,nan,0,1,4200,False,4200,0,1,47338ec8be374c029f9b751bd74e30d6,2020-05-10_05-26-00,1589088360,25.151039361953735,25.151039361953735,20785,ip-172-31-20-81,172.31.20.81,25.151039361953735,4200,1,3,00000,0,[],[],4200,4200,9095.922,16023.886,26.051,262.109,461.745,4200.0,44.41764705882353,36.564705882352946,0.3576470588235294,0.07471588807605907,0.0,0.2,5e-05,0.8614854379133745,-0.001333345574411479,0.8592114322113268,0.3748052,0.01803673720551711,0.40098347627755365,0.0
-21.0,-21.0,-21.0,764.0,6,1,4200,False,8400,6,2,47338ec8be374c029f9b751bd74e30d6,2020-05-10_05-26-21,1589088381,21.141525268554688,46.29256463050842,20785,ip-172-31-20-81,172.31.20.81,46.29256463050842,8400,2,3,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[764, 764, 764, 764, 764, 764]",8400,8400,7732.664,15392.901,15.504,272.853,543.15,4200.0,41.51428571428573,39.8107142857143,0.45535714285714285,0.08637236084452973,0.0,0.2,5e-05,0.12449445535965038,0.002742630740006765,0.11265153505585411,0.8132098,0.04550144934998543,0.25009490594719397,0.0
-21.0,-21.0,-21.0,764.0,6,1,4200,False,12600,12,3,47338ec8be374c029f9b751bd74e30d6,2020-05-10_05-26-43,1589088403,21.084845542907715,67.37741017341614,20785,ip-172-31-20-81,172.31.20.81,67.37741017341614,12600,3,3,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764]",12600,12600,7246.544,15195.323,12.093,276.401,579.587,4200.0,41.925925925925924,39.72592592592592,0.42925925925925923,0.08637236084452973,0.0,0.30000000000000004,5e-05,0.08411214562753837,0.00523209103354902,0.06357868772112962,0.8909471,0.051004553100827965,0.28606538090741995,0.0
-21.0,-21.0,-21.0,764.0,6,1,4200,False,16800,18,4,47338ec8be374c029f9b751bd74e30d6,2020-05-10_05-27-04,1589088424,21.032368183135986,88.40977835655212,20785,ip-172-31-20-81,172.31.20.81,88.40977835655212,16800,4,3,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764]",16800,16800,6979.4,15107.619,10.268,278.005,601.771,4200.0,41.189285714285724,39.767857142857146,0.4160714285714286,0.08637236084452973,0.0,0.45000000000000007,5e-05,0.0220129546624693,-0.004421345635571263,0.023250339722091503,0.9513058,0.007075466356719985,0.2894828992359566,0.0
-21.0,-21.0,-21.0,764.0,6,1,4200,False,21000,24,5,47338ec8be374c029f9b751bd74e30d6,2020-05-10_05-27-25,1589088445,21.221773386001587,109.63155174255371,20785,ip-172-31-20-81,172.31.20.81,109.63155174255371,21000,5,3,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764]",21000,21000,6848.337,15063.635,9.169,278.817,613.288,4200.0,41.42142857142858,39.825,0.4639285714285714,0.08637236084452973,0.0,0.45000000000000007,5e-05,0.021530642371737595,0.0036222073390628352,0.011640622407536615,0.9761728,0.013928472441903345,0.1490932707533692,0.0
-21.0,-21.0,-21.0,764.0,6,1,4200,False,25200,30,6,47338ec8be374c029f9b751bd74e30d6,2020-05-10_05-27-46,1589088466,21.243998527526855,130.87555027008057,20785,ip-172-31-20-81,172.31.20.81,130.87555027008057,25200,6,3,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764]",25200,25200,6765.033,15033.998,8.449,279.367,620.84,4200.0,41.84814814814814,39.82222222222222,0.4448148148148149,0.08637236084452973,0.0,0.45000000000000007,5e-05,0.02769577068587144,-0.001129063805847457,0.02665186007366036,0.92336965,0.00482883231686146,0.10931738917574738,0.0
-21.0,-21.0,-21.0,764.0,6,1,4200,False,29400,36,7,47338ec8be374c029f9b751bd74e30d6,2020-05-10_05-28-07,1589088487,21.24082326889038,152.11637353897095,20785,ip-172-31-20-81,172.31.20.81,152.11637353897095,29400,7,3,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764]",29400,29400,6710.202,15007.65,7.955,279.857,625.913,4200.0,41.44642857142857,39.84285714285715,0.45142857142857146,0.08637236084452973,0.0,0.22500000000000003,5e-05,0.018238231483282463,-0.0021879698686075935,0.020190628104363426,0.9534568,0.0010469861700778092,0.08289396638671558,0.0
-21.0,-21.0,-21.0,764.0,3,1,4200,False,33600,39,8,47338ec8be374c029f9b751bd74e30d6,2020-05-10_05-28-29,1589088509,21.239975452423096,173.35634899139404,20785,ip-172-31-20-81,172.31.20.81,173.35634899139404,33600,8,3,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764]",33600,33600,6665.826,14991.023,7.617,280.168,630.079,4200.0,41.33571428571428,39.74285714285714,0.44214285714285717,0.08637236084452973,0.0,0.11250000000000002,5e-05,0.006550446209130865,-0.004482170256475608,0.010670340140209053,0.9699969,0.0032202213981442833,0.1280156464287729,0.0
-21.0,-21.0,-21.0,764.0,6,1,4200,False,37800,45,9,47338ec8be374c029f9b751bd74e30d6,2020-05-10_05-28-50,1589088530,21.218698978424072,194.57504796981812,20785,ip-172-31-20-81,172.31.20.81,194.57504796981812,37800,9,3,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764]",37800,37800,6622.586,14984.496,7.295,280.29,634.193,4200.0,41.267857142857146,39.73928571428571,0.4253571428571429,0.08637236084452973,0.0,0.05625000000000001,5e-05,0.0071409267909599075,-0.001562160976005323,0.008566814234875368,0.97557944,0.002422654062904643,0.09986936413880551,0.0
-21.0,-21.0,-21.0,764.0,6,1,4200,False,42000,51,10,47338ec8be374c029f9b751bd74e30d6,2020-05-10_05-29-11,1589088551,21.267117261886597,215.8421652317047,20785,ip-172-31-20-81,172.31.20.81,215.8421652317047,42000,10,3,00000,0,"[-21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764, 764]",42000,42000,6597.258,14974.843,7.043,280.47,636.628,4200.0,41.657142857142865,39.800000000000004,0.4489285714285714,0.08637236084452973,0.0,0.028125000000000004,5e-05,-0.006453951284515135,-0.03050690217677391,0.01940322852213726,0.97728544,0.16532339697534387,0.43146496379014215,0.0
